year,epiweek,Nextstrain_clade,clade_samples,total_samples,epiweek_year,epidate,clade_pct
2020,3,"20I (Alpha, V1)",1,1,2020_03,2020-01-12,1
2020,4,19B,6,6,2020_04,2020-01-19,1
2020,6,20C,1,1,2020_06,2020-02-02,1
2020,8,19A,21,22,2020_08,2020-02-16,0.9545454545454546
2020,8,20C,1,22,2020_08,2020-02-16,0.045454545454545456
2020,9,19A,5,6,2020_09,2020-02-23,0.8333333333333334
2020,9,19B,1,6,2020_09,2020-02-23,0.16666666666666666
2020,10,19A,1,32,2020_10,2020-03-01,0.03125
2020,10,19B,20,32,2020_10,2020-03-01,0.625
2020,10,20A,4,32,2020_10,2020-03-01,0.125
2020,10,20B,3,32,2020_10,2020-03-01,0.09375
2020,10,20C,4,32,2020_10,2020-03-01,0.125
2020,11,19A,14,316,2020_11,2020-03-08,0.04430379746835443
2020,11,19B,130,316,2020_11,2020-03-08,0.41139240506329117
2020,11,20A,45,316,2020_11,2020-03-08,0.14240506329113925
2020,11,20B,8,316,2020_11,2020-03-08,0.02531645569620253
2020,11,20C,119,316,2020_11,2020-03-08,0.37658227848101267
2020,12,19A,15,382,2020_12,2020-03-15,0.03926701570680628
2020,12,19B,68,382,2020_12,2020-03-15,0.17801047120418848
2020,12,20A,35,382,2020_12,2020-03-15,0.09162303664921466
2020,12,20B,14,382,2020_12,2020-03-15,0.03664921465968586
2020,12,20C,242,382,2020_12,2020-03-15,0.6335078534031413
2020,12,20G,2,382,2020_12,2020-03-15,0.005235602094240838
2020,12,"20H (Beta, V2)",1,382,2020_12,2020-03-15,0.002617801047120419
2020,12,"20I (Alpha, V1)",3,382,2020_12,2020-03-15,0.007853403141361256
2020,12,"20J (Gamma, V3)",1,382,2020_12,2020-03-15,0.002617801047120419
2020,12,21C (Epsilon),1,382,2020_12,2020-03-15,0.002617801047120419
2020,13,19A,9,275,2020_13,2020-03-22,0.03272727272727273
2020,13,19B,61,275,2020_13,2020-03-22,0.22181818181818183
2020,13,20A,37,275,2020_13,2020-03-22,0.13454545454545455
2020,13,20B,9,275,2020_13,2020-03-22,0.03272727272727273
2020,13,20C,159,275,2020_13,2020-03-22,0.5781818181818181
2020,14,19A,2,415,2020_14,2020-03-29,0.004819277108433735
2020,14,19B,28,415,2020_14,2020-03-29,0.06746987951807229
2020,14,20A,86,415,2020_14,2020-03-29,0.20722891566265061
2020,14,20B,25,415,2020_14,2020-03-29,0.060240963855421686
2020,14,20C,274,415,2020_14,2020-03-29,0.6602409638554216
2020,15,19A,14,404,2020_15,2020-04-05,0.034653465346534656
2020,15,19B,30,404,2020_15,2020-04-05,0.07425742574257425
2020,15,20A,120,404,2020_15,2020-04-05,0.297029702970297
2020,15,20B,21,404,2020_15,2020-04-05,0.05198019801980198
2020,15,20C,219,404,2020_15,2020-04-05,0.5420792079207921
2020,16,19A,3,419,2020_16,2020-04-12,0.007159904534606206
2020,16,19B,7,419,2020_16,2020-04-12,0.016706443914081145
2020,16,20A,131,419,2020_16,2020-04-12,0.3126491646778043
2020,16,20B,33,419,2020_16,2020-04-12,0.07875894988066826
2020,16,20C,244,419,2020_16,2020-04-12,0.5823389021479713
2020,16,20G,1,419,2020_16,2020-04-12,0.002386634844868735
2020,17,19A,3,625,2020_17,2020-04-19,0.0048
2020,17,19B,13,625,2020_17,2020-04-19,0.0208
2020,17,20A,155,625,2020_17,2020-04-19,0.248
2020,17,20B,50,625,2020_17,2020-04-19,0.08
2020,17,20C,402,625,2020_17,2020-04-19,0.6432
2020,17,20G,2,625,2020_17,2020-04-19,0.0032
2020,18,19B,9,534,2020_18,2020-04-26,0.016853932584269662
2020,18,20A,135,534,2020_18,2020-04-26,0.25280898876404495
2020,18,20B,15,534,2020_18,2020-04-26,0.028089887640449437
2020,18,20C,372,534,2020_18,2020-04-26,0.6966292134831461
2020,18,20G,2,534,2020_18,2020-04-26,0.003745318352059925
2020,18,21C (Epsilon),1,534,2020_18,2020-04-26,0.0018726591760299626
2020,19,19B,4,423,2020_19,2020-05-03,0.009456264775413711
2020,19,20A,72,423,2020_19,2020-05-03,0.1702127659574468
2020,19,20B,6,423,2020_19,2020-05-03,0.014184397163120567
2020,19,20C,340,423,2020_19,2020-05-03,0.8037825059101655
2020,19,20G,1,423,2020_19,2020-05-03,0.002364066193853428
2020,20,19A,1,451,2020_20,2020-05-10,0.0022172949002217295
2020,20,19B,5,451,2020_20,2020-05-10,0.011086474501108648
2020,20,20A,121,451,2020_20,2020-05-10,0.2682926829268293
2020,20,20B,6,451,2020_20,2020-05-10,0.013303769401330377
2020,20,20C,317,451,2020_20,2020-05-10,0.7028824833702882
2020,20,20G,1,451,2020_20,2020-05-10,0.0022172949002217295
2020,21,19B,2,488,2020_21,2020-05-17,0.004098360655737705
2020,21,20A,80,488,2020_21,2020-05-17,0.16393442622950818
2020,21,20B,12,488,2020_21,2020-05-17,0.02459016393442623
2020,21,20C,394,488,2020_21,2020-05-17,0.8073770491803278
2020,22,20A,49,326,2020_22,2020-05-24,0.15030674846625766
2020,22,20B,18,326,2020_22,2020-05-24,0.05521472392638037
2020,22,20C,259,326,2020_22,2020-05-24,0.7944785276073619
2020,23,19B,1,252,2020_23,2020-05-31,0.003968253968253968
2020,23,20A,40,252,2020_23,2020-05-31,0.15873015873015872
2020,23,20B,24,252,2020_23,2020-05-31,0.09523809523809523
2020,23,20C,187,252,2020_23,2020-05-31,0.7420634920634921
2020,24,20A,34,182,2020_24,2020-06-07,0.18681318681318682
2020,24,20B,28,182,2020_24,2020-06-07,0.15384615384615385
2020,24,20C,120,182,2020_24,2020-06-07,0.6593406593406593
2020,25,20A,99,411,2020_25,2020-06-14,0.24087591240875914
2020,25,20B,26,411,2020_25,2020-06-14,0.06326034063260341
2020,25,20C,268,411,2020_25,2020-06-14,0.6520681265206812
2020,25,20G,18,411,2020_25,2020-06-14,0.043795620437956206
2020,26,20A,50,225,2020_26,2020-06-21,0.2222222222222222
2020,26,20B,42,225,2020_26,2020-06-21,0.18666666666666668
2020,26,20C,127,225,2020_26,2020-06-21,0.5644444444444444
2020,26,20G,6,225,2020_26,2020-06-21,0.02666666666666667
2020,27,19A,1,291,2020_27,2020-06-28,0.003436426116838488
2020,27,19B,1,291,2020_27,2020-06-28,0.003436426116838488
2020,27,20A,111,291,2020_27,2020-06-28,0.38144329896907214
2020,27,20B,46,291,2020_27,2020-06-28,0.15807560137457044
2020,27,20C,124,291,2020_27,2020-06-28,0.4261168384879725
2020,27,20G,8,291,2020_27,2020-06-28,0.027491408934707903
2020,28,20A,171,630,2020_28,2020-07-05,0.2714285714285714
2020,28,20B,92,630,2020_28,2020-07-05,0.14603174603174604
2020,28,20C,328,630,2020_28,2020-07-05,0.5206349206349207
2020,28,20G,39,630,2020_28,2020-07-05,0.06190476190476191
2020,29,20A,122,587,2020_29,2020-07-12,0.20783645655877342
2020,29,20B,98,587,2020_29,2020-07-12,0.16695059625212946
2020,29,20C,328,587,2020_29,2020-07-12,0.5587734241908007
2020,29,20D,1,587,2020_29,2020-07-12,0.0017035775127768314
2020,29,20G,38,587,2020_29,2020-07-12,0.06473594548551959
2020,30,20A,129,502,2020_30,2020-07-19,0.25697211155378485
2020,30,20B,43,502,2020_30,2020-07-19,0.08565737051792828
2020,30,20C,304,502,2020_30,2020-07-19,0.6055776892430279
2020,30,20G,26,502,2020_30,2020-07-19,0.05179282868525897
2020,31,20A,98,362,2020_31,2020-07-26,0.27071823204419887
2020,31,20B,40,362,2020_31,2020-07-26,0.11049723756906077
2020,31,20C,189,362,2020_31,2020-07-26,0.5220994475138122
2020,31,20G,34,362,2020_31,2020-07-26,0.09392265193370165
2020,31,21J (Delta),1,362,2020_31,2020-07-26,0.0027624309392265192
2020,32,20A,131,418,2020_32,2020-08-02,0.3133971291866029
2020,32,20B,43,418,2020_32,2020-08-02,0.10287081339712918
2020,32,20C,190,418,2020_32,2020-08-02,0.45454545454545453
2020,32,20G,54,418,2020_32,2020-08-02,0.1291866028708134
2020,33,19A,1,645,2020_33,2020-08-09,0.0015503875968992248
2020,33,20A,228,645,2020_33,2020-08-09,0.35348837209302325
